1941j             "1941: Counter Attack (Japan)"
mvscj             "Marvel Vs. Capcom: Clash of Super Heroes (Japan 980123)"
mvscjsing         "Marvel Vs. Capcom: Clash of Super Heroes (Japan 980123) (Single PCB)"
mvscur1           "Marvel Vs. Capcom: Clash of Super Heroes (USA 971222)"
mvscud            "Marvel Vs. Capcom: Clash of Super Heroes (USA 980123 Phoenix Edition) (bootleg)"
mvscu             "Marvel Vs. Capcom: Clash of Super Heroes (USA 980123)"
megaman2a         "Mega Man 2: The Power Fighters (Asia 960708)"
megaman2h         "Mega Man 2: The Power Fighters (Hispanic 960712)"
megamn2d          "Mega Man 2: The Power Fighters (USA 960708 Phoenix Edition) (bootleg)"
mmancp2ur1        "Mega Man: The Power Battle (CPS2, USA 950926, SAMPLE Version)"
megaman           "Mega Man: The Power Battle (CPS1, USA 951006)"
mmancp2u          "Mega Man: The Power Battle (CPS2, USA 951006, SAMPLE Version)"
mpangr1           "Mighty! Pang (Euro 000925)"
mpang             "Mighty! Pang (Euro 001010)"
mpangj            "Mighty! Pang (Japan 001011)"
mpangu            "Mighty! Pang (USA 001010)"
nwarra            "Night Warriors: Darkstalkers' Revenge (Asia 950302)"
nwarr             "Night Warriors: Darkstalkers' Revenge (Euro 950316)"
nwarrb            "Night Warriors: Darkstalkers' Revenge (Brazil 950403)"
nwarrh            "Night Warriors: Darkstalkers' Revenge (Hispanic 950403)"
nwarrud           "Night Warriors: Darkstalkers' Revenge (USA 950406 Phoenix Edition) (bootleg)"
nwarru            "Night Warriors: Darkstalkers' Revenge (USA 950406)"
pfghtj            "Pocket Fighter (Japan 970904)"
sgemf             "Super Gem Fighter Mini Mix (USA 970904)"
pgearr1           "Powered Gear: Strategic Variant Armor Equipment (Japan 940916)"
pgear             "Powered Gear: Strategic Variant Armor Equipment (Japan 941024)"
progeara          "Progear (Asia 010117)"
progear           "Progear (USA 010117)"
progearud         "Progear (USA 010117 Phoenix Edition) (bootleg)"
progearjd         "Progear no Arashi (Japan 010117 Phoenix Edition) (bootleg)"
progearj          "Progear no Arashi (Japan 010117)"
progearjbl        "Progear no Arashi (Japan 010117) (decrypted bootleg)"
pzloop2           "Puzz Loop 2 (Euro 010302)"
pzloop2jr1        "Puzz Loop 2 (Japan 010205)"
pzloop2jd         "Puzz Loop 2 (Japan 010226 Phoenix Edition) (bootleg)"
pzloop2j          "Puzz Loop 2 (Japan 010226)"
qndream           "Quiz Nanairo Dreams: Nijiirochou no Kiseki (Japan 960826)"
ringdesta         "Ring of Destruction: Slammasters II (Asia 940831)"
ringdest          "Ring of Destruction: Slammasters II (Euro 940902)"
ringdstd          "Ring of Destruction: Slammasters II (Euro 940902 Phoenix Edition) (bootleg)"
ringdesth         "Ring of Destruction: Slammasters II (Hispanic 940902)"
rockman2j         "Rockman 2: The Power Fighters (Japan 960708)"
rmancp2j          "Rockman: The Power Battle (CPS2, Japan 950922)"
sfa2              "Street Fighter Alpha 2 (Euro 960229)"
sfa2ur1           "Street Fighter Alpha 2 (USA 960306)"
sfa2u             "Street Fighter Alpha 2 (USA 960430)"
sfa3b             "Street Fighter Alpha 3 (Brazil 980629)"
sfa3              "Street Fighter Alpha 3 (Euro 980904)"
sfa3hr1           "Street Fighter Alpha 3 (Hispanic 980629)"
sfa3h             "Street Fighter Alpha 3 (Hispanic 980904)"
sfa3us            "Street Fighter Alpha 3 (USA 980616, SAMPLE Version)"
sfa3ur1           "Street Fighter Alpha 3 (USA 980629)"
sfa3ud            "Street Fighter Alpha 3 (USA 980904 Phoenix Edition) (bootleg)"
sfa3u             "Street Fighter Alpha 3 (USA 980904)"
sfar3             "Street Fighter Alpha: Warriors' Dreams (Euro 950605)"
sfa               "Street Fighter Alpha: Warriors' Dreams (Euro 950727)"
sfar2             "Street Fighter Alpha: Warriors' Dreams (Euro 950627)"
sfar1             "Street Fighter Alpha: Warriors' Dreams (Euro 950718)"
sfad              "Street Fighter Alpha: Warriors' Dreams (Euro 950727 Phoenix Edition) (bootleg)"
sfau              "Street Fighter Alpha: Warriors' Dreams (USA 950627)"
sfzar1            "Street Fighter Zero (Asia 950605)"
sfza              "Street Fighter Zero (Asia 950627)"
sfzbr1            "Street Fighter Zero (Brazil 950727)"
sfzb              "Street Fighter Zero (Brazil 951109)"
sfzhr1            "Street Fighter Zero (Hispanic 950627)"
sfzh              "Street Fighter Zero (Hispanic 950718)"
sfzjr2            "Street Fighter Zero (Japan 950605)"
sfzjr1            "Street Fighter Zero (Japan 950627)"
sfzj              "Street Fighter Zero (Japan 950727)"
sfz2ad            "Street Fighter Zero 2 (Asia 960227 Phoenix Edition) (bootleg)"
sfz2a             "Street Fighter Zero 2 (Asia 960227)"
sfz2br1           "Street Fighter Zero 2 (Brazil 960304)"
sfz2b             "Street Fighter Zero 2 (Brazil 960531)"
sfz2h             "Street Fighter Zero 2 (Hispanic 960304)"
sfz2jd            "Street Fighter Zero 2 (Japan 960227 Phoenix Edition) (bootleg)"
sfz2jr1           "Street Fighter Zero 2 (Japan 960227)"
sfz2j             "Street Fighter Zero 2 (Japan 960430)"
